Name,Link,Type
Zoiper Set-up Link,https://drive.google.com/file/d/1OVZ7H0pRbBlLNbwbmPBpUcEtd2ZKqt_e/view?usp=sharing,Link
Android POS,https://d2342aurx0wo5i.cloudfront.net/Petpooja_android_pos.apk,Link
Android POS LITE,https://bit.ly/ppandroidlite,Link
Petpooja - Merchant App,https://play.google.com/store/apps/details?id=com.petpooja.billing&hl=en,Link
Online Order Acceptance,https://d2342aurx0wo5i.cloudfront.net/Petpooja_Order_APP.apk,Link
Captain Ordering,https://d2342aurx0wo5i.cloudfront.net/Petpooja_Captain_Order_V2.apk,Link
Token Management,https://d2342aurx0wo5i.cloudfront.net/Petpooja_Token.apk,Link
Feedback Management,https://d2342aurx0wo5i.cloudfront.net/Petpooja_Feedback.apk,Link
Kitchen Display System,https://d2342aurx0wo5i.cloudfront.net/Petpooja_kds.apk,Link
MFR Scanner,https://billing.petpooja.com/installation/Petpooja_Scanner_App.apk,Link
Reservations Manager,https://petpooja-rm-apk.s3.ap-south-1.amazonaws.com/Reservation_Manager_By_Petpooja.apk,Link
Purchase Scan,https://play.google.com/store/apps/details?id=com.invoice.briefcase,Link
Petpooja Tasks,https://play.google.com/store/apps/details?id=com.petpooja.task_manager,Link
Petpooja Invoice,https://play.google.com/store/apps/details?id=com.petpooja.invoice&pcampaignid=web_share,Link
Inventory Application,https://billing.petpooja.com/installation/Petpooja_inventory.apk,Link
Windose 7 Captain app link,https://bit.ly/ppcaptainapp,Link
Kiosk New Vertical Display Only,http://bit.ly/ppkioskv2,Link
Smart Wright Inventory,http://bit.ly/ppsmartinventory,Link
Payroll Mobile App Dashboard,https://petpooja-app-builds.s3.ap-south-1.amazonaws.com/payroll/Petpooja_Payroll_new.apk,Link
Petpooja Employee App Payroll,https://play.google.com/store/apps/details?id=com.petpooja.employeepayroll,Link
Andriod POS Release,https://docs.google.com/document/d/1l40Di2DTgorfpe3wxUIyk5dZBIHvaILcjZeYERA9VvE/edit?usp=drive_link,Link
Electron_POS_Releases_Notes,https://docs.google.com/document/d/1m50WHQgaJ9Zh5i2QXqEQNtrRNofWushoyp83bVeryvs/edit?usp=drive_link,Document
Product Comparison,https://docs.google.com/spreadsheets/d/1eeCy-JET2Yt4gWRRuscTey4JU4xN8aSbwh-cxWiOD0Y/edit?usp=sharing,Document
New price list,https://lookerstudio.google.com/u/0/reporting/7adbd052-8409-46f0-9e9d-9366c84fa636/page/p_harp8szu6c,Document
POC Sheet,https://docs.google.com/spreadsheets/d/1cbyfyBZ6qzgHZ7u-wAFfRPrubQ7lA8Jy9EaDgVAjKEU/edit?gid=1637294089#gid=1637294089,Link
Zoiper Set-up Link,https://drive.google.com/file/d/1OVZ7H0pRbBlLNbwbmPBpUcEtd2ZKqt_e/view?usp=sharing,Link
Blue Stack,https://drive.google.com/file/d/1Zajyvfo0LZRUtlGFqP7u_edFCjBp3zcs/view?usp=drive_link,Link
Port Issue link,https://drive.google.com/file/d/1fno6WNa9gYazwnX2Lfu_FXDsfsQLqf6M/view?usp=drive_link,Document
Team Viewer,https://drive.google.com/file/d/12YB7JvtEHJwLv9vhjTYWLm4LyInrB-1z/view?usp=drive_link,Link
Anydesk,https://drive.google.com/file/d/1pkodCAQMftDv55R0SDnnJrNB-OI_d4f7/view?usp=drive_link,Link
Ultra Viwer,https://drive.google.com/file/d/1mRmAK32hKfzk_EqQaL5iuF_1NNIGkmsU/view?usp=drive_link,Link
Admin Link,https://internal.petpooja.com:5525/,Link
Zoho Link,https://desk.zoho.com/agent/petpooja1/petpooja1/tickets/,Link
WCD Driver Link,https://drive.google.com/file/d/14s0QqXpWGdMelc4q9fA2XylJTiDAd2m0/view?usp=drive_link,Link
WCD Set-Up Link,https://drive.google.com/file/d/11QoMpp7uOEEwEoFyNjReUT-4r4dOFlwj/view?usp=drive_link,Link
Ncomputing and raspberry pi,https://drive.google.com/file/d/1Pjn8JirdMZ0k1rTKOERSKz0THCui9TsZ/view?usp=drive_link,Link
MT vs MP Training Teams Services,https://docs.google.com/spreadsheets/d/1DONXnPQ-_Oa3E3Q1CFDTcftcuLGba3NQY2np4f20Luc/edit?gid=742019529#gid=742019529,Document
Passkey For Android Date Time Error,8800,Document
Petpooja Purchse,https://drive.google.com/drive/folders/1y-Vo4BUDyB_uxfmshlw7GL9rXNjBuO5f?usp=drive_link,Document
Petpooja Tasks,https://docs.google.com/document/d/18sGUfSV783L-NWAQAoYUI6rNiirPp18MUruWKz8bhWY/edit?tab=t.0#heading=h.pa07xq95i29z,Document
Reservations Manager,https://docs.google.com/document/d/1YD3-hc60l3uzXSO2-73J4N87-kM4yvt6eR5_ZYUMWsg/edit?tab=t.0,Document
New Price Structure,https://docs.google.com/document/d/10QWPqx8YqpY8ST50LyWyivy5EezOrtiClCSbNuqA2hM/edit?usp=sharing,Document
Contact sheet,https://docs.google.com/spreadsheets/d/1vhqDZ4yyFQ6Q9wbCzB8c1ksjumO3nRFgmDFAfmoq6rg/edit?gid=409440462#gid=409440462,Document
